No,q1Title,q1Body,q2Title,q2Body,q1 Title + body,Length of cell,top,top5,top10,,,top,top5,top10
1,How do I get my Python program to sleep for 50 milliseconds?,"<p>How do I get my Python program to sleep for 50 milliseconds?</p>
",How do I make a time delay?,"<p>How do I get my Python program to sleep for 50 milliseconds?</p>
","How do I get my Python program to sleep for 50 milliseconds? <p>How do I get my Python program to sleep for 50 milliseconds?</p>
",129,0,0,0,,,0,0,0
2,Understanding Python super() with __init__() methods,"<p>Why is <code>super()</code> used?</p>
<p>Is there a difference between using <code>Base.__init__</code> and <code>super().__init__</code>?</p>
<pre><code>class Base(object):
    def __init__(self):
        print &quot;Base created&quot;
        
class ChildA(Base):
    def __init__(self):
        Base.__init__(self)
        
class ChildB(Base):
    def __init__(self):
        super(ChildB, self).__init__()
        
ChildA() 
ChildB()
</code></pre>
",What is the function of __init__ method here ,"<p>What's the difference between:</p>

<pre><code>class Child(SomeBaseClass):
    def __init__(self):
        super(Child, self).__init__()
</code></pre>

<p>and:</p>

<pre><code>class Child(SomeBaseClass):
    def __init__(self):
        SomeBaseClass.__init__(self)
</code></pre>

<p>I've seen <code>super</code> being used quite a lot in classes with only single inheritance. I can see why you'd use it in multiple inheritance but am unclear as to what the advantages are of using it in this kind of situation.</p>
","Understanding Python super() with __init__() methods <p>Why is <code>super()</code> used?</p>
<p>Is there a difference between using <code>Base.__init__</code> and <code>super().__init__</code>?</p>
<pre><code>class Base(object):
    def __init__(self):
        print &quot;Base created&quot;
        
class ChildA(Base):
    def __init__(self):
        Base.__init__(self)
        
class ChildB(Base):
    def __init__(self):
        super(ChildB, self).__init__()
        
ChildA() 
ChildB()
</code></pre>
",508,0,1,1,,,0,1,1
3,Find the current directory and file's directory,"<p>How do I determine:</p>
<ol>
<li>the current directory (where I was in the terminal when I ran the Python script), and</li>
<li>where the Python file I am executing is?</li>
</ol>
",How do you properly determine the current script directory?,"<p>I would like to see what is the best way to determine the current script directory in Python.</p>
<p>I discovered that, due to the many ways of calling Python code, it is hard to find a good solution.</p>
<p>Here are some problems:</p>
<ul>
<li><code>__file__</code> is not defined if the script is executed with <code>exec</code>, <code>execfile</code></li>
<li><code>__module__</code> is defined only in modules</li>
</ul>
<p>Use cases:</p>
<ul>
<li><code>./myfile.py</code></li>
<li><code>python myfile.py</code></li>
<li><code>./somedir/myfile.py</code></li>
<li><code>python somedir/myfile.py</code></li>
<li><code>execfile('myfile.py')</code> (from another script, that can be located in another directory and that can have another current directory.</li>
</ul>
<p>I know that there is no perfect solution, but I'm looking for the best approach that solves most of the cases.</p>
<p>The most used approach is <code>os.path.dirname(os.path.abspath(__file__))</code> but this really doesn't work if you execute the script from another one with <code>exec()</code>.</p>
<h2>Warning</h2>
<p>Any solution that uses current directory will fail, this can be different based on the way the script is called or it can be changed inside the running script.</p>
","Find the current directory and file's directory <p>How do I determine:</p>
<ol>
<li>the current directory (where I was in the terminal when I ran the Python script), and</li>
<li>where the Python file I am executing is?</li>
</ol>
",231,0,1,1,,,0,1,1
4,Meaning of @classmethod and @staticmethod for beginner?,"<p>What do <code>@classmethod</code> and <code>@staticmethod</code> mean in Python, and how are they different? <em>When</em> should I use them, <em>why</em> should I use them, and <em>how</em> should I use them?</p>
<p>As far as I understand, <code>@classmethod</code> tells a class that it's a method which should be inherited into subclasses, or... something. However, what's the point of that? Why not just define the class method without adding <code>@classmethod</code> or <code>@staticmethod</code> or any <code>@</code> definitions?</p>
",Why should I use a classmethod in python?,"<p>What is the difference between a function deco+E5rated with <a href=""http://docs.python.org/library/functions.html#staticmethod"" rel=""noreferrer""><code>@staticmethod</code></a> and one decorated with <a href=""http://docs.python.org/library/functions.html#classmethod"" rel=""noreferrer""><code>@classmethod</code></a>?</p>
","Meaning of @classmethod and @staticmethod for beginner? <p>What do <code>@classmethod</code> and <code>@staticmethod</code> mean in Python, and how are they different? <em>When</em> should I use them, <em>why</em> should I use them, and <em>how</em> should I use them?</p>
<p>As far as I understand, <code>@classmethod</code> tells a class that it's a method which should be inherited into subclasses, or... something. However, what's the point of that? Why not just define the class method without adding <code>@classmethod</code> or <code>@staticmethod</code> or any <code>@</code> definitions?</p>
",601,1,1,1,,,1,1,1
5,Use of *args and **kwargs,"<p>So I have difficulty with the concept of <code>*args</code> and <code>**kwargs</code>.</p>

<p>So far I have learned that:</p>

<ul>
<li><code>*args</code> = list of arguments - as positional arguments</li>
<li><code>**kwargs</code> = dictionary - whose keys become separate keyword arguments and the values become values of these arguments.</li>
</ul>

<p>I don't understand what programming task this would be helpful for. </p>

<p>Maybe:</p>

<p>I think to enter lists and dictionaries as arguments of a function AND at the same time as a wildcard, so I can pass ANY argument?</p>

<p>Is there a simple example to explain how <code>*args</code> and <code>**kwargs</code> are used?</p>

<p>Also the tutorial I found used just the ""*"" and a variable name. </p>

<p>Are <code>*args</code> and <code>**kwargs</code> just placeholders or do you use exactly <code>*args</code> and <code>**kwargs</code> in the code?</p>
",difference bewteen *args and **args in python?,"<p>What do <code>*args</code> and <code>**kwargs</code> mean?</p>
<pre><code>def foo(x, y, *args):
def bar(x, y, **kwargs):
</code></pre>
","Use of *args and **kwargs <p>So I have difficulty with the concept of <code>*args</code> and <code>**kwargs</code>.</p>

<p>So far I have learned that:</p>

<ul>
<li><code>*args</code> = list of arguments - as positional arguments</li>
<li><code>**kwargs</code> = dictionary - whose keys become separate keyword arguments and the values become values of these arguments.</li>
</ul>

<p>I don't understand what programming task this would be helpful for. </p>

<p>Maybe:</p>

<p>I think to enter lists and dictionaries as arguments of a function AND at the same time as a wildcard, so I can pass ANY argument?</p>

<p>Is there a simple example to explain how <code>*args</code> and <code>**kwargs</code> are used?</p>

<p>Also the tutorial I found used just the ""*"" and a variable name. </p>

<p>Are <code>*args</code> and <code>**kwargs</code> just placeholders or do you use exactly <code>*args</code> and <code>**kwargs</code> in the code?</p>
",946,1,1,1,,,1,1,1
6,Does Python have a ternary conditional operator?,"<p>I'm just getting into Python and I really like the terseness of the syntax. However, is there an easier way of writing an <code>if</code>-<code>then</code>-<code>else</code> statement so it fits on one line?</p>

<p>For example:</p>

<pre><code>if count == N:
    count = 0
else:
    count = N + 1
</code></pre>

<p>Is there a simpler way of writing this? I mean, in Objective-C I would write this as:</p>

<pre><code>count = count == N ? 0 : count + 1;
</code></pre>

<p>Is there something similar for Python?</p>

<p><strong>Update</strong></p>

<p>I know that in this instance I can use <code>count == (count + 1) % N</code>. </p>

<p>I'm asking about the general syntax.</p>
",How to condense if/else into one line in Python?,"<p>Is there a <a href=""https://en.wikipedia.org/wiki/%3F:#Python"" rel=""noreferrer"">ternary conditional operator</a> in Python?</p>
","Does Python have a ternary conditional operator? <p>I'm just getting into Python and I really like the terseness of the syntax. However, is there an easier way of writing an <code>if</code>-<code>then</code>-<code>else</code> statement so it fits on one line?</p>

<p>For example:</p>

<pre><code>if count == N:
    count = 0
else:
    count = N + 1
</code></pre>

<p>Is there a simpler way of writing this? I mean, in Objective-C I would write this as:</p>

<pre><code>count = count == N ? 0 : count + 1;
</code></pre>

<p>Is there something similar for Python?</p>

<p><strong>Update</strong></p>

<p>I know that in this instance I can use <code>count == (count + 1) % N</code>. </p>

<p>I'm asking about the general syntax.</p>
",731,0,0,0,,,0,0,0
7,Checking whether a variable is an integer or not,"<p>How do I check whether a variable is an integer?</p>
",If N is equal to an integer,"<p>How do I check if an object is of a given type, or if it inherits from a given type?</p>
<p>How do I check if the object <code>o</code> is of type <code>str</code>?</p>
","Checking whether a variable is an integer or not <p>How do I check whether a variable is an integer?</p>
",105,1,1,1,,,1,1,1
8,How can I safely create a nested directory? ,"<p>Is there a way to get functionality similar to <code>mkdir -p</code> on the shell from within Python.  I am looking for a solution other than a system call.  I am sure the code is less than 20 lines, and I am wondering if someone has already written it?</p>
",How can I create directories recursively?,"<p>How do I check if the directory that a file is going to be written to exists, and if it does not, create the directory using Python?</p>
","How can I safely create a nested directory?  <p>Is there a way to get functionality similar to <code>mkdir -p</code> on the shell from within Python.  I am looking for a solution other than a system call.  I am sure the code is less than 20 lines, and I am wondering if someone has already written it?</p>
",306,0,0,0,,,0,0,0
9,Multiprocessing vs Threading Python,"<p>I am trying to understand the advantages of <a href=""http://docs.python.org/library/multiprocessing"" rel=""noreferrer"">multiprocessing</a> over <a href=""http://docs.python.org/library/threading"" rel=""noreferrer"">threading</a>. I know that <strong>multiprocessing</strong> gets around the Global Interpreter Lock, but what other advantages are there, and can <strong>threading</strong> not do the same thing?</p>
",What are the differences between the threading and multiprocessing modules?,"<p>I am learning how to use the <code>threading</code> and the <code>multiprocessing</code> modules in Python to run certain operations in parallel and speed up my code.</p>

<p>I am finding this hard (maybe because I don't have any theoretical background about it) to understand what the difference is between a <code>threading.Thread()</code> object and a <code>multiprocessing.Process()</code> one.</p>

<p>Also, it is not entirely clear to me how to instantiate a queue of jobs and having only 4 (for example) of them running in parallel, while the other wait for resources to free before being executed.</p>

<p>I find the examples in the documentation clear, but not very exhaustive; as soon as I try to complicate things a bit, I receive a lot of weird errors (like a method that can't be pickled, and so on).</p>

<p>So, when should I use the <code>threading</code> and <code>multiprocessing</code> modules?</p>

<p>Can you link me to some resources that explain the concepts behind these two modules and how to use them properly for complex tasks?</p>
","Multiprocessing vs Threading Python <p>I am trying to understand the advantages of <a href=""http://docs.python.org/library/multiprocessing"" rel=""noreferrer"">multiprocessing</a> over <a href=""http://docs.python.org/library/threading"" rel=""noreferrer"">threading</a>. I know that <strong>multiprocessing</strong> gets around the Global Interpreter Lock, but what other advantages are there, and can <strong>threading</strong> not do the same thing?</p>
",450,1,1,1,,,1,1,1
10,How can I make a Python script standalone executable to run without ANY dependency?,"<p>I'm building a Python application and don't want to force my clients to install Python and modules.</p>
<p>So, is there a way to compile a Python script to be a standalone executable?</p>
",Create a single executable from a Python project,"<p>I want to create a single executable from my Python project.  A user should be able to download and run it without needing Python installed.  If I were just distributing a package, I could use pip, wheel, and PyPI to build and distribute it, but this requires that the user has Python and knows how to install packages.  What can I use to build a self-contained executable from a Python project?</p>
","How can I make a Python script standalone executable to run without ANY dependency? <p>I'm building a Python application and don't want to force my clients to install Python and modules.</p>
<p>So, is there a way to compile a Python script to be a standalone executable?</p>
",275,1,1,1,,,1,1,1
